GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
I 3 Market,ie.nuig.i3market.web.rest,AccountResource.UserVM,0,17,0,0,0,7,0,4,0,4
I 3 Market,ie.nuig.i3market.web.rest,UserJWTController,0,67,0,2,0,13,0,3,0,2
I 3 Market,ie.nuig.i3market.web.rest,UserJWTController.JWTToken,4,9,0,0,2,4,1,2,1,2
I 3 Market,ie.nuig.i3market.web.rest,RegisterationOffering,0,3,0,0,0,1,0,1,0,1
I 3 Market,ie.nuig.i3market.web.rest,AccountResource,5,24,0,0,0,7,1,2,1,2
I 3 Market,ie.nuig.i3market.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
I 3 Market,ie.nuig.i3market.web.rest.vm,LoginVM,19,24,0,0,1,10,1,7,1,7
I 3 Market,ie.nuig.i3market.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
I 3 Market,ie.nuig.i3market.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
I 3 Market,ie.nuig.i3market.security.jwt,TokenProvider,69,108,1,3,19,28,3,4,2,3
I 3 Market,ie.nuig.i3market,I3MarketApp,110,24,10,2,23,8,8,3,2,3
I 3 Market,ie.nuig.i3market,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
I 3 Market,ie.nuig.i3market.security,SecurityUtils,69,20,12,2,16,6,13,2,6,2
I 3 Market,ie.nuig.i3market.config.databases,VirtuosoConfiguration,0,6,0,0,0,3,0,1,0,1
I 3 Market,ie.nuig.i3market.web.rest.errors,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
I 3 Market,ie.nuig.i3market.web.rest.errors,ErrorConstants,0,7,0,0,0,2,0,1,0,1
I 3 Market,ie.nuig.i3market.web.rest.errors,ExceptionTranslator,132,179,10,10,27,43,13,7,5,5
I 3 Market,ie.nuig.i3market.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
I 3 Market,ie.nuig.i3market.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
I 3 Market,ie.nuig.i3market.config,ApplicationProperties.VirtuosoProperties,42,3,0,0,18,1,12,1,12,1
I 3 Market,ie.nuig.i3market.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
I 3 Market,ie.nuig.i3market.config,LoggingConfiguration,11,51,5,5,3,14,5,1,0,1
I 3 Market,ie.nuig.i3market.config,SecurityConfiguration,0,148,0,0,0,44,0,4,0,4
I 3 Market,ie.nuig.i3market.config,JacksonConfiguration,0,19,0,0,0,5,0,5,0,5
I 3 Market,ie.nuig.i3market.config,WebConfigurer,38,29,5,1,8,9,4,2,1,2
I 3 Market,ie.nuig.i3market.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
I 3 Market,ie.nuig.i3market.config,ApplicationProperties,3,8,0,0,1,2,1,1,1,1
I 3 Market,ie.nuig.i3market.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
I 3 Market,ie.nuig.i3market.config,CacheConfiguration,21,34,2,0,8,11,4,4,3,4
